"当地时间 杭州市(机场)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.12.2024 11:00";"5.4";"772.6";"776.7";"0.0";"61";"从北方吹来的风";"3";"";"9";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.2";"10.1";"";"";"2500或更高，或无云。";"";"";"4.7";"-1.5";"无降水";"12";"";"";"";"";
"14.12.2024 08:00";"3.6";"772.6";"776.8";"1.2";"70";"从西北方吹来的风";"3";"";"11";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.2";"10.1";"";"";"2500或更高，或无云。";"";"";"4.4";"-1.4";"无降水";"12";"";"";"";"";
"14.12.2024 05:00";"3.3";"771.4";"775.5";"0.6";"69";"从西北偏北方向吹来的风";"3";"";"11";"";"霾 ";"";"";"3.2";"10.1";"";"";"2500或更高，或无云。";"";"";"6.0";"-2.0";"无降水";"12";"";"";"";"";
"14.12.2024 02:00";"4.5";"770.8";"774.9";"0.3";"59";"从西北偏北方向吹来的风";"3";"";"11";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"4.5";"10.1";"";"";"2500或更高，或无云。";"";"";"7.0";"-3.0";"无降水";"12";"";"";"";"";
"13.12.2024 23:00";"6.3";"770.5";"774.5";"1.8";"63";"从西北偏北方向吹来的风";"4";"";"11";"";"霾 ";"";"";"6.2";"10.1";"";"";"2500或更高，或无云。";"";"";"2.8";"-0.4";"无降水";"12";"";"";"";"";
"13.12.2024 20:00";"7.3";"768.7";"772.8";"1.7";"61";"从北方吹来的风";"2";"";"9";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.2";"10.1";"";"";"2500或更高，或无云。";"";"";"4.1";"0.3";"无降水";"12";"";"";"";"";
"13.12.2024 17:00";"8.4";"767.0";"771.1";"1.0";"63";"从西北偏北方向吹来的风";"2";"";"9";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.2";"10.1";"";"";"2500或更高，或无云。";"";"";"5.0";"1.8";"0.2";"12";"";"";"";"";
"13.12.2024 14:00";"9.7";"766.0";"770.1";"-1.3";"59";"从西北偏西方向吹来的风";"4";"";"8";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.2";"9.7";"";"";"2500或更高，或无云。";"";"";"7.0";"2.1";"0.8";"12";"";"";"";"";
"13.12.2024 11:00";"7.4";"767.3";"771.4";"0.5";"91";"从西北方吹来的风";"1";"";"4";"";"毛毛雨（不冻）或者小雪粒 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.2";"8.0";"";"";"2500或更高，或无云。";"";"";"4.9";"6.0";"1.0";"12";"";"";"";"";
"13.12.2024 08:00";"6.4";"766.8";"770.8";"0.5";"97";"从西方吹来的风";"1";"";"4";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"8.0";"";"";"2500或更高，或无云。";"";"";"3.5";"6.0";"2.0";"12";"";"";"";"";
"13.12.2024 05:00";"6.4";"766.3";"770.4";"0.3";"95";"从西北偏北方向吹来的风";"2";"";"4";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"";"8.0";"";"";"2500或更高，或无云。";"";"";"3.0";"5.7";"2.0";"12";"";"";"";"";
"13.12.2024 02:00";"6.7";"766.0";"770.1";"-0.3";"98";"从西北方吹来的风";"2";"";"5";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"8.0";"";"";"2500或更高，或无云。";"";"";"1.9";"6.4";"0.9";"12";"";"";"";"";
"12.12.2024 23:00";"6.7";"766.3";"770.4";"0.0";"98";"从西北方吹来的风";"1";"";"5";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"";"8.0";"";"";"2500或更高，或无云。";"";"";"2.0";"6.4";"0.5";"12";"";"";"";"";
"12.12.2024 20:00";"7.2";"766.3";"770.3";"0.9";"88";"从西北方吹来的风";"2";"";"5";"";"毛毛雨（不冻）或者小雪粒 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"2.7";"8.0";"";"";"2500或更高，或无云。";"";"";"4.2";"5.3";"无降水";"12";"";"";"";"";
"12.12.2024 17:00";"7.2";"765.4";"769.5";"-0.3";"85";"从西北偏西方向吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"2.7";"8.0";"";"";"2500或更高，或无云。";"";"";"4.9";"4.9";"无降水";"12";"";"";"";"";
"12.12.2024 14:00";"7.7";"765.7";"769.8";"-1.7";"77";"从西北偏北方向吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"2.7";"8.0";"";"";"2500或更高，或无云。";"";"";"5.0";"3.9";"无降水";"12";"";"";"";"";
"12.12.2024 11:00";"7.1";"767.4";"771.4";"-0.2";"70";"从西北方吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"2.7";"7.3";"";"";"2500或更高，或无云。";"";"";"5.0";"2.0";"无降水";"12";"";"";"";"";
"12.12.2024 08:00";"3.9";"767.6";"771.7";"0.4";"88";"从西南偏南方向吹来的风";"1";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"2.7";"7.1";"";"";"2500或更高，或无云。";"";"";"3.6";"2.1";"无降水";"12";"";"";"";"";
"12.12.2024 05:00";"4.0";"767.2";"771.3";"-0.5";"86";"从西北方吹来的风";"1";"";"5";"";"霾 ";"";"";"4.0";"7.4";"";"";"2500或更高，或无云。";"";"";"3.8";"1.9";"无降水";"12";"";"";"";"";
"12.12.2024 02:00";"5.0";"767.7";"771.7";"0.2";"86";"从西北偏北方向吹来的风";"2";"";"8";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.0";"8.0";"";"";"2500或更高，或无云。";"";"";"4.0";"2.9";"无降水";"12";"";"";"";"";
"11.12.2024 23:00";"6.5";"767.5";"771.6";"0.3";"80";"从西北偏北方向吹来的风";"2";"";"10";"";"霾 ";"";"";"6.4";"";"";"";"2500或更高，或无云。";"";"";"6.0";"3.3";"0.6";"12";"";"";"";"";
"11.12.2024 20:00";"6.6";"767.2";"771.2";"1.2";"86";"从西北偏北方向吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"";"";"";"2500或更高，或无云。";"";"";"7.0";"4.4";"3.0";"12";"";"";"";"";
"11.12.2024 17:00";"6.6";"766.0";"770.0";"1.1";"85";"从西北偏北方向吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"";"";"";"2500或更高，或无云。";"";"";"9.0";"4.3";"4.0";"12";"";"";"";"";
"11.12.2024 14:00";"6.9";"764.9";"769.0";"-1.4";"94";"从北方吹来的风";"2";"";"10";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"9.0";"";"";"2500或更高，或无云。";"";"";"10.0";"6.0";"7.0";"12";"";"";"";"";
"11.12.2024 11:00";"6.5";"766.3";"770.3";"0.9";"98";"从西北偏北方向吹来的风";"3";"";"10";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"9.2";"";"";"2500或更高，或无云。";"";"";"2.9";"6.2";"10.0";"12";"";"";"";"";
"11.12.2024 08:00";"6.5";"765.4";"769.5";"1.6";"97";"从北方吹来的风";"5";"";"10";"";"间歇性雨，不冻，在观测时较弱 ";"小雨";"在整个相应周期内云遮住了一半或以下的天空";"6.5";"9.2";"";"";"2500或更高，或无云。";"";"";"4.1";"6.1";"12.0";"12";"";"";"";"";
"11.12.2024 05:00";"7.4";"763.8";"767.8";"0.5";"98";"从西北偏北方向吹来的风";"4";"";"8";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"7.4";"9.2";"";"";"2500或更高，或无云。";"";"";"2.7";"7.1";"14.0";"12";"";"";"";"";
"11.12.2024 02:00";"8.0";"763.3";"767.4";"0.1";"99";"从西北偏北方向吹来的风";"3";"";"8";"";"间歇性雨，不冻，在观测时较弱 ";"小雨";"在整个相应周期内云遮住了一半或以下的天空";"7.7";"9.2";"";"";"2500或更高，或无云。";"";"";"3.1";"7.9";"12.0";"12";"";"";"";"";
"10.12.2024 23:00";"8.3";"763.2";"767.2";"0.5";"99";"从西北偏北方向吹来的风";"3";"";"6";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"7.7";"9.2";"";"";"2500或更高，或无云。";"";"";"1.9";"8.2";"8.0";"12";"";"";"";"";
"10.12.2024 20:00";"8.8";"762.7";"766.8";"0.9";"99";"从北方吹来的风";"3";"";"5";"";"间歇性雨，不冻，在观测时中度 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.7";"9.2";"";"";"2500或更高，或无云。";"";"";"2.8";"8.7";"4.0";"12";"";"";"";"";
"10.12.2024 17:00";"8.9";"761.8";"765.9";"-0.3";"99";"从东北偏北方向吹来的风";"2";"";"4";"";"间歇性雨，不冻，在观测时较弱 ";"小雨";"在整个相应周期内云遮住了一半或以下的天空";"7.7";"10.3";"";"";"2500或更高，或无云。";"";"";"1.9";"8.8";"0.7";"12";"";"";"";"";
"10.12.2024 14:00";"9.0";"762.1";"766.1";"-1.7";"96";"从东方吹来的风";"2";"";"4";"";"间歇性毛毛雨，不冻，在观测时是微弱的 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.7";"";"";"";"2500或更高，或无云。";"";"";"3.4";"8.4";"无降水";"12";"";"";"";"";
"10.12.2024 11:00";"9.0";"763.8";"767.8";"-0.4";"97";"从东南偏东方向吹来的风";"1";"";"3";"";"间歇性毛毛雨，不冻，在观测时是微弱的 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.7";"";"";"";"2500或更高，或无云。";"";"";"3.3";"8.5";"无降水";"12";"";"";"";"";
"10.12.2024 08:00";"8.1";"764.2";"768.3";"0.4";"97";"从西北偏西方向吹来的风";"1";"";"5";"";"毛毛雨（不冻）或者小雪粒 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"";"2500或更高，或无云。";"";"";"2.6";"7.7";"无降水";"12";"";"";"";"";
"10.12.2024 05:00";"7.9";"763.8";"767.8";"-0.6";"95";"从西北偏西方向吹来的风";"1";"";"6";"";"薄雾 ";"";"";"4.8";"11.6";"";"";"2500或更高，或无云。";"";"";"3.9";"7.1";"无降水";"12";"";"";"";"";
"10.12.2024 02:00";"8.2";"764.4";"768.4";"-0.2";"89";"从西北方吹来的风";"2";"";"6";"";"间歇性毛毛雨，不冻，在观测时是微弱的 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"4.7";"11.6";"";"";"2500或更高，或无云。";"";"";"5.0";"6.5";"无降水";"12";"";"";"";"";
"09.12.2024 23:00";"8.8";"764.6";"768.7";"0.2";"75";"从西北方吹来的风";"1";"";"6";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"3.9";"11.6";"";"";"2500或更高，或无云。";"";"";"12.0";"4.6";"无降水";"12";"";"";"";"";
"09.12.2024 20:00";"9.2";"764.4";"768.4";"0.6";"66";"从东南偏东方向吹来的风";"2";"";"";"";"间歇性毛毛雨，不冻，在观测时是微弱的 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.9";"11.6";"";"";"2500或更高，或无云。";"";"";"14.0";"3.2";"无降水";"12";"";"";"";"";
"09.12.2024 17:00";"10.3";"763.8";"767.8";"-0.4";"61";"从东北偏东方向吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.9";"11.6";"";"";"2500或更高，或无云。";"";"";"11.0";"3.1";"无降水";"12";"";"";"";"";
"09.12.2024 14:00";"11.4";"764.2";"768.2";"-2.4";"52";"从东北偏东方向吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.9";"11.4";"";"";"2500或更高，或无云。";"";"";"9.0";"1.9";"无降水";"12";"";"";"";"";
"09.12.2024 11:00";"8.7";"766.6";"770.6";"-1.1";"59";"从东北偏东方向吹来的风";"3";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.9";"10.1";"";"";"2500或更高，或无云。";"";"";"9.0";"1.1";"无降水";"12";"";"";"";"";
"09.12.2024 08:00";"5.5";"767.7";"771.8";"0.1";"67";"从西北方吹来的风";"1";"";"3";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.9";"";"";"";"2500或更高，或无云。";"";"";"16.0";"-0.3";"无降水";"12";"";"";"";"";
"09.12.2024 05:00";"4.8";"767.6";"771.7";"-0.7";"64";"从西北偏西方向吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"3.9";"10.1";"";"";"2500或更高，或无云。";"";"";"17.0";"-1.6";"无降水";"12";"";"";"";"";
"09.12.2024 02:00";"4.7";"768.3";"772.3";"-0.4";"64";"从西北偏北方向吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.9";"10.1";"";"";"2500或更高，或无云。";"";"";"17.0";"-1.7";"无降水";"12";"";"";"";"";
"08.12.2024 23:00";"4.3";"768.7";"772.7";"0.0";"60";"从西北方吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"4.2";"10.1";"";"";"2500或更高，或无云。";"";"";"18.0";"-2.8";"无降水";"12";"";"";"";"";
"08.12.2024 20:00";"5.2";"768.7";"772.7";"-0.1";"42";"从西北偏北方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.1";"10.3";"";"";"2500或更高，或无云。";"";"";"22.0";"-6.7";"无降水";"12";"";"";"";"";
"08.12.2024 17:00";"8.0";"768.8";"772.9";"0.2";"30";"从东北方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.1";"11.0";"";"";"2500或更高，或无云。";"";"";"23.0";"-8.5";"无降水";"12";"";"";"";"";
"08.12.2024 14:00";"9.8";"768.6";"772.6";"-2.1";"32";"从西北偏北方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.1";"12.1";"";"";"2500或更高，或无云。";"";"";"21.0";"-6.1";"无降水";"12";"";"";"";"";
"08.12.2024 11:00";"8.2";"770.7";"774.7";"-0.3";"43";"从东北方吹来的风";"5";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.1";"12.1";"";"";"2500或更高，或无云。";"";"";"19.0";"-3.9";"无降水";"12";"";"";"";"";
"08.12.2024 08:00";"6.4";"771.0";"775.0";"1.2";"47";"从东北偏北方向吹来的风";"4";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.1";"12.1";"";"";"2500或更高，或无云。";"";"";"22.0";"-4.1";"无降水";"12";"";"";"";"";
"08.12.2024 05:00";"6.5";"769.8";"773.8";"0.0";"47";"从东北偏北方向吹来的风";"3";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"6.5";"12.1";"";"";"2500或更高，或无云。";"";"";"23.0";"-4.0";"无降水";"12";"";"";"";"";
"08.12.2024 02:00";"8.1";"769.8";"773.8";"0.4";"57";"从东北偏北方向吹来的风";"5";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.2";"12.1";"";"";"2500或更高，或无云。";"";"";"16.0";"0.1";"无降水";"12";"";"";"";"";
"07.12.2024 23:00";"9.5";"769.4";"773.5";"1.3";"59";"从北方吹来的风";"4";"";"9";"";"霾 ";"";"";"7.2";"12.1";"";"";"2500或更高，或无云。";"";"";"4.0";"1.9";"无降水";"12";"";"";"";"";
"07.12.2024 20:00";"10.3";"768.1";"772.1";"1.3";"63";"从北方吹来的风";"4";"";"7";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.2";"12.1";"";"";"2500或更高，或无云。";"";"";"2.6";"3.6";"无降水";"12";"";"";"";"";
"07.12.2024 17:00";"11.0";"766.8";"770.8";"1.2";"62";"从北方吹来的风";"3";"";"7";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.2";"12.1";"";"";"2500或更高，或无云。";"";"";"2.9";"4.0";"无降水";"12";"";"";"";"";
"07.12.2024 14:00";"11.9";"765.6";"769.6";"-1.3";"56";"从北方吹来的风";"3";"";"7";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.2";"12.0";"";"";"2500或更高，或无云。";"";"";"3.7";"3.2";"无降水";"12";"";"";"";"";
"07.12.2024 11:00";"10.7";"766.9";"770.9";"0.9";"71";"从北方吹来的风";"3";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.2";"12.0";"";"";"2500或更高，或无云。";"";"";"2.4";"5.5";"无降水";"12";"";"";"";"";
"07.12.2024 08:00";"8.1";"766.0";"770.0";"0.7";"90";"从西北方吹来的风";"2";"";"4";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.2";"";"";"";"2500或更高，或无云。";"";"";"2.0";"6.6";"无降水";"12";"";"";"";"";
"07.12.2024 05:00";"8.1";"765.3";"769.3";"-0.3";"88";"从西北方吹来的风";"2";"";"3";"";"霾 ";"";"";"8.1";"12.0";"";"";"2500或更高，或无云。";"";"";"1.9";"6.2";"无降水";"12";"";"";"";"";
"07.12.2024 02:00";"9.1";"765.6";"769.6";"0.3";"83";"从西北方吹来的风";"1";"";"3";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"8.6";"12.0";"";"";"2500或更高，或无云。";"";"";"2.4";"6.4";"无降水";"12";"";"";"";"";
"06.12.2024 23:00";"9.1";"765.3";"769.3";"1.1";"87";"从西北偏北方向吹来的风";"2";"";"3";"";"霾 ";"";"";"8.6";"12.0";"";"";"2500或更高，或无云。";"";"";"2.7";"7.1";"无降水";"12";"";"";"";"";
"06.12.2024 20:00";"9.0";"764.2";"768.3";"1.0";"91";"从西南方吹来的风";"1";"";"4";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"8.6";"12.0";"";"";"2500或更高，或无云。";"";"";"2.5";"7.6";"无降水";"12";"";"";"";"";
"06.12.2024 17:00";"9.7";"763.2";"767.2";"0.5";"85";"从西南方吹来的风";"1";"";"4";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.3";"12.0";"";"";"2500或更高，或无云。";"";"";"3.7";"7.3";"无降水";"12";"";"";"";"";
"06.12.2024 14:00";"11.6";"762.7";"766.7";"-1.5";"70";"从南方吹来的风";"1";"";"4";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.3";"11.6";"";"";"2500或更高，或无云。";"";"";"4.6";"6.3";"无降水";"12";"";"";"";"";
"06.12.2024 11:00";"10.8";"764.2";"768.2";"0.3";"69";"从西北方吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.3";"10.9";"";"";"2500或更高，或无云。";"";"";"5.0";"5.3";"无降水";"12";"";"";"";"";
"06.12.2024 08:00";"9.6";"763.9";"767.9";"0.1";"76";"从东北偏北方向吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"10.8";"";"";"2500或更高，或无云。";"";"";"5.0";"5.6";"无降水";"12";"";"";"";"";
"06.12.2024 05:00";"9.7";"763.8";"767.8";"0.3";"83";"从北方吹来的风";"2";"";"5";"";"小雨（不冻） ";"";"";"9.2";"10.8";"";"";"2500或更高，或无云。";"";"";"3.5";"7.0";"无降水";"12";"";"";"";"";
"06.12.2024 02:00";"10.0";"763.5";"767.5";"0.2";"84";"从北方吹来的风";"1";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"";"";"";"2500或更高，或无云。";"";"";"3.4";"7.4";"无降水";"12";"";"";"";"";
"05.12.2024 23:00";"10.4";"763.3";"767.3";"0.0";"85";"从东北偏北方向吹来的风";"2";"";"5";"";"霾 ";"";"";"9.2";"12.0";"";"";"2500或更高，或无云。";"";"";"4.4";"8.0";"无降水";"12";"";"";"";"";
"05.12.2024 20:00";"10.3";"763.3";"767.3";"0.6";"89";"从西北方吹来的风";"1";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"12.1";"";"";"2500或更高，或无云。";"";"";"3.9";"8.6";"无降水";"12";"";"";"";"";
"05.12.2024 17:00";"10.6";"762.7";"766.7";"0.2";"83";"从东北方吹来的风";"2";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"";"";"";"2500或更高，或无云。";"";"";"5.0";"7.8";"1.0";"12";"";"";"";"";
